X,Y,1101411
588.266785,-40.411583,10
588.247498,-40.369915,10
588.266235,-40.361591,10
588.261963,-40.397373,10
588.251892,-40.414883,10
588.262268,-40.374332,10
588.257568,-40.41264,10
588.257019,-40.410984,10
588.251343,-40.414772,10
588.263,-40.393593,10
588.263245,-40.388523,10
588.196045,-40.42313,10
588.262146,-40.402351,10
588.21167,-40.263184,10
588.21991,-40.362411,10
588.195618,-40.437035,10
588.257568,-40.391228,10
588.239502,-40.295452,10
588.252563,-40.374393,10
588.146301,-40.302204,10
588.25885,-40.398361,10
588.247803,-40.382645,10
588.253906,-40.364952,10
588.264771,-40.395252,10
588.194946,-40.444225,10
588.258118,-40.379246,10
588.25769,-40.40892,10
588.273499,-40.369415,10
588.267517,-40.381256,10
588.202393,-40.396168,10
588.26355,-40.401428,10
588.269897,-40.383808,10
588.244629,-40.296658,10
588.258118,-40.381779,10
588.259399,-40.395214,10
588.255737,-40.398228,10
588.202026,-40.422226,10
588.257141,-40.379681,10
588.262451,-40.345436,10
588.261719,-40.335583,10
588.262695,-40.360447,10
588.250122,-40.332661,10
588.26062,-40.389366,10
588.223938,-40.296242,10
588.185242,-40.418205,10
588.259033,-40.365601,10
588.254028,-40.388294,10
588.25061,-40.3685,10
588.25592,-40.408428,10
588.257935,-40.367897,10
588.198181,-40.399506,10
588.259766,-40.363991,10
588.250488,-40.39061,10
588.252319,-40.327335,10
588.260742,-40.373318,10
588.196228,-40.424641,10
588.268677,-40.33596,10
588.258911,-40.375431,10
588.20282,-40.42672,10
588.267822,-40.396027,10
588.271362,-40.339851,10
588.248718,-40.393776,10
588.249939,-40.397682,10
588.266907,-40.390999,10
588.266174,-40.398129,10
588.247864,-40.398754,10
588.255188,-40.400894,10
588.25531,-40.40263,10
588.253052,-40.383289,10
588.241394,-40.389114,10
588.195313,-40.436157,10
588.251099,-40.415352,10
588.252441,-40.36293,10
588.252136,-40.409008,10
588.251221,-40.306656,10
588.253662,-40.414742,10
588.264709,-40.344296,10
588.251221,-40.417526,10
588.258728,-40.349171,10
588.25177,-40.40184,10
588.255676,-40.397003,10
588.25647,-40.390163,10
588.264038,-40.38464,10
588.268494,-40.368912,10
588.263184,-40.40493,10
588.263306,-40.412964,10
588.247803,-40.378479,10
588.25,-40.403763,10
588.252808,-40.36758,10
588.250793,-40.395992,10
588.260742,-40.408215,10
588.279968,-40.341316,10
588.257751,-40.313339,10
588.257568,-40.380234,10
588.240295,-40.309219,10
588.260864,-40.379539,10
588.259949,-40.406212,10
588.260132,-40.39888,10
588.256775,-40.403599,10
588.25824,-40.3983,10
588.255737,-40.406834,10
588.254822,-40.400276,10
588.255554,-40.413437,10
588.234741,-40.351219,10
588.257263,-40.400959,10
588.253479,-40.371967,10
588.263306,-40.331291,10
588.260254,-40.403378,10
588.259888,-40.401608,10
588.261963,-40.377029,10
588.250366,-40.412384,10
588.259888,-40.388203,10
588.250671,-40.336746,10
588.251709,-40.356518,10
588.192261,-40.274696,10
588.259277,-40.398354,10
588.271729,-40.36623,10
588.258423,-40.386234,10
588.262085,-40.360287,10
588.204773,-40.373695,10
588.258606,-40.374966,10
588.254761,-40.354664,10
588.260254,-40.387089,10
588.256714,-40.374935,10
588.258362,-40.36018,10
588.207825,-40.279697,10
588.24469,-40.344933,10
588.264404,-40.388542,10
588.255005,-40.379318,10
588.252319,-40.393536,10
588.245789,-40.404953,10
588.196838,-40.42535,10
588.259583,-40.390572,10
588.259766,-40.388519,10
588.195129,-40.411289,10
588.242249,-40.358471,10
588.24707,-40.403839,10
588.245911,-40.407509,10
588.263367,-40.383183,10
588.260986,-40.363777,10
588.197083,-40.246597,10
588.263184,-40.358917,10
588.255127,-40.388737,10
588.211853,-40.242569,10
588.25116,-40.36787,10
588.270813,-40.340012,10
588.257813,-40.38752,10
588.266724,-40.399227,10
588.257385,-40.395668,10
588.25415,-40.397823,10
588.253479,-40.407402,10
588.26123,-40.375805,10
588.247742,-40.39587,10
588.251892,-40.357224,10
588.258972,-40.412632,10
588.257385,-40.386791,10
588.192322,-40.441494,10
588.248291,-40.379086,10
588.250977,-40.392372,10
588.247131,-40.400269,10
588.178467,-40.328575,10
588.25531,-40.375874,10
588.256775,-40.388004,10
588.26062,-40.391907,10
588.272278,-40.391323,10
588.263428,-40.39082,10
588.261414,-40.40041,10
588.259521,-40.383457,10
588.252563,-40.294998,10
588.267517,-40.341648,10
588.254761,-40.367409,10
588.265015,-40.408707,10
588.270874,-40.338367,10
588.224731,-40.281666,10
588.222961,-40.291573,10
588.257507,-40.40731,10
588.253357,-40.380352,10
588.249146,-40.411606,10
588.25415,-40.392624,10
588.260498,-40.402332,10
588.263794,-40.394234,10
588.207581,-40.441475,10
588.256409,-40.391956,10
588.232666,-40.287254,10
588.25061,-40.413227,10
588.255554,-40.401012,10
588.270203,-40.393597,10
588.253418,-40.40834,10
588.272034,-40.396622,10
588.255615,-40.328423,10
588.255188,-40.356873,10
588.258667,-40.41312,10
588.255981,-40.392956,10
588.253052,-40.405861,10
588.25238,-40.399307,10
588.246338,-40.401638,10
588.252014,-40.413326,10
588.261841,-40.388161,10
588.264771,-40.390594,10
588.258118,-40.364819,10
588.257019,-40.407143,10
588.254028,-40.34317,10
588.259705,-40.383713,10
588.252441,-40.386005,10
588.253296,-40.413486,10
588.255127,-40.396305,10
588.253662,-40.378799,10
588.233398,-40.303783,10
588.258972,-40.343048,10
588.257813,-40.397926,10
588.266724,-40.394119,10
588.249573,-40.36454,10
588.199463,-40.434635,10
588.25824,-40.405621,10
588.255432,-40.403641,10
588.234436,-40.255283,10
588.261536,-40.37846,10
588.017639,-40.517212,10
588.088135,-40.595428,10
588.077942,-40.62598,10
588.080322,-40.618153,10
588.090454,-40.595524,10
588.015808,-40.617809,10
588.078857,-40.603386,10
588.087585,-40.61829,10
588.07666,-40.62402,10
587.986084,-40.482906,10
588.047485,-40.513809,10
588.084412,-40.618759,10
588.085938,-40.633705,10
588.0802,-40.590767,10
588.082947,-40.604397,10
588.079834,-40.611027,10
588.079773,-40.604919,10
588.011414,-40.644295,10
588.092407,-40.623695,10
588.083679,-40.606895,10
588.084106,-40.604836,10
588.070435,-40.539749,10
588.072021,-40.617218,10
588.085876,-40.619232,10
588.093323,-40.594608,10
588.078857,-40.62743,10
588.008728,-40.654819,10
588.085938,-40.522198,10
588.081299,-40.616802,10
588.092529,-40.58744,10
588.079712,-40.559429,10
588.008118,-40.616947,10
588.084961,-40.631744,10
588.019409,-40.61282,10
588.084534,-40.621723,10
588.015747,-40.646881,10
588.087708,-40.590984,10
588.092346,-40.606846,10
588.088989,-40.611279,10
588.021057,-40.632294,10
588.083008,-40.615871,10
588.092163,-40.616615,10
588.084595,-40.626888,10
588.090271,-40.604416,10
588.211731,-40.257561,10
588.261719,-40.394592,10
588.260803,-40.37801,10
588.254517,-40.402576,10
588.265137,-40.39436,10
588.267456,-40.39777,10
588.256226,-40.405537,10
588.26062,-40.402699,10
588.266296,-40.37598,10
588.254456,-40.394691,10
588.265564,-40.395008,10
588.266174,-40.387215,10
588.263123,-40.3797,10
588.258667,-40.404453,10
588.254822,-40.401207,10
588.257263,-40.402481,10
588.196594,-40.440544,10
588.201721,-40.440754,10
588.246704,-40.369354,10
588.260925,-40.368263,10
588.189392,-40.337749,10
588.263794,-40.405823,10
588.258423,-40.392914,10
588.198303,-40.411083,10
588.187622,-40.331131,10
588.260437,-40.366619,10
588.257263,-40.381889,10
588.258606,-40.387104,10
588.238831,-40.368378,10
588.264221,-40.362782,10
588.263855,-40.382408,10
588.25885,-40.405636,10
588.267456,-40.385242,10
588.261658,-40.392029,10
588.255066,-40.406975,10
588.259338,-40.380039,10
588.258911,-40.375252,10
588.263428,-40.361515,10
588.25769,-40.413605,10
588.255676,-40.410259,10
588.25885,-40.384274,10
588.250793,-40.392796,10
588.260803,-40.395813,10
588.263306,-40.388241,10
588.269531,-40.370476,10
588.258423,-40.414467,10
588.254028,-40.364731,10
588.267639,-40.414211,10
588.263855,-40.406857,10
588.258362,-40.358856,10
588.249634,-40.4118,10
588.253296,-40.402321,10
588.256104,-40.409416,10
588.25824,-40.387592,10
588.192383,-40.370697,10
588.26239,-40.385761,10
588.250244,-40.39027,10
588.261597,-40.299942,10
588.259216,-40.4114,10
588.245544,-40.34251,10
588.264954,-40.388676,10
588.272339,-40.351692,10
588.255432,-40.413109,10
588.257324,-40.409492,10
588.200806,-40.427959,10
588.249084,-40.337929,10
588.204834,-40.434486,10
588.258911,-40.39072,10
588.190186,-40.430153,10
588.197388,-40.439049,10
588.261353,-40.404697,10
588.252808,-40.402332,10
588.198303,-40.275928,10
588.256592,-40.410931,10
588.258179,-40.388893,10
588.223022,-40.279564,10
588.196472,-40.387936,10
588.26947,-40.370407,10
588.263489,-40.372452,10
588.260681,-40.40744,10
588.262146,-40.371464,10
588.255066,-40.333622,10
588.237793,-40.337006,10
588.255554,-40.413277,10
588.256775,-40.398895,10
588.246277,-40.304199,10
588.261047,-40.390572,10
588.197937,-40.417709,10
588.229065,-40.263168,10
588.260559,-40.41357,10
588.258423,-40.389191,10
588.258362,-40.399773,10
588.194275,-40.284233,10
588.257141,-40.406033,10
588.266907,-40.397991,10
588.258789,-40.403015,10
588.257263,-40.395008,10
588.251892,-40.345154,10
588.202759,-40.435001,10
588.252625,-40.364616,10
588.263062,-40.39867,10
588.256226,-40.410046,10
588.15686,-40.298401,10
588.263489,-40.300671,10
588.202271,-40.405373,10
588.246277,-40.307606,10
588.23761,-40.263393,10
588.262207,-40.387379,10
588.196045,-40.42448,10
588.251465,-40.415844,10
588.231873,-40.378666,10
588.262756,-40.381504,10
588.245117,-40.308239,10
588.263489,-40.366329,10
588.258972,-40.385468,10
588.264038,-40.403015,10
588.261108,-40.386158,10
588.148376,-40.300049,10
588.250549,-40.418583,10
588.269958,-40.386036,10
588.218933,-40.299259,10
588.267273,-40.3801,10
588.262878,-40.389912,10
588.268555,-40.399902,10
588.260376,-40.405289,10
588.260986,-40.392334,10
588.259949,-40.404049,10
588.190552,-40.416042,10
588.243225,-40.403111,10
588.257996,-40.364811,10
588.258789,-40.40522,10
588.258606,-40.362991,10
588.204712,-40.430973,10
588.19751,-40.451649,10
588.200378,-40.431702,10
588.205139,-40.377522,10
588.262878,-40.403877,10
588.259399,-40.394932,10
588.261902,-40.404156,10
588.263977,-40.402039,10
588.263916,-40.405869,10
588.200867,-40.420769,10
588.266174,-40.398842,10
588.256592,-40.385853,10
588.263428,-40.406933,10
588.255188,-40.420891,10
588.265076,-40.401756,10
588.274475,-40.378399,10
588.260742,-40.410751,10
588.198364,-40.441444,10
588.262634,-40.403255,10
588.266174,-40.397655,10
588.269592,-40.372036,10
588.258179,-40.403786,10
588.200623,-40.443893,10
588.26593,-40.399162,10
588.272339,-40.341412,10
588.273865,-40.3489,10
588.199402,-40.447796,10
588.161499,-40.324257,10
588.258362,-40.378067,10
588.256714,-40.339176,10
588.264343,-40.406029,10
588.227783,-40.300919,10
588.245911,-40.380886,10
588.261719,-40.411148,10
588.263184,-40.412415,10
588.269165,-40.383244,10
588.254761,-40.404381,10
588.256104,-40.4142,10
588.254456,-40.373814,10
588.260498,-40.410782,10
588.252991,-40.409035,10
588.208557,-40.435123,10
588.258179,-40.390213,10
588.258972,-40.404846,10
588.271851,-40.380413,10
588.258057,-40.405479,10
588.259644,-40.404621,10
588.260742,-40.384052,10
588.260559,-40.397869,10
588.25238,-40.421425,10
588.199036,-40.451191,10
588.255676,-40.390636,10
588.259766,-40.420517,10
588.253174,-40.418949,10
588.264404,-40.383488,10
588.199219,-40.438629,10
588.253662,-40.38628,10
588.252747,-40.381233,10
588.199768,-40.440632,10
588.248718,-40.332825,10
588.264893,-40.376488,10
588.264282,-40.386925,10
588.265747,-40.401154,10
588.261108,-40.410526,10
588.281006,-40.375977,10
588.258789,-40.406654,10
588.258423,-40.390079,10
588.263611,-40.347866,10
588.256531,-40.405846,10
588.255859,-40.404892,10
588.201355,-40.440327,10
588.252258,-40.388008,10
588.265991,-40.382641,10
588.255981,-40.384533,10
588.257813,-40.405449,10
588.266846,-40.412331,10
588.255005,-40.307037,10
588.264221,-40.400936,10
588.262817,-40.418255,10
588.256165,-40.406715,10
588.253967,-40.400749,10
588.269104,-40.392998,10
588.206665,-40.416771,10
588.259155,-40.392166,10
588.248901,-40.399715,10
588.193115,-40.404102,10
588.260254,-40.400852,10
588.216736,-40.274361,10
588.273804,-40.349064,10
588.278687,-40.373238,10
588.273254,-40.366055,10
588.255859,-40.409939,10
588.265991,-40.3927,10
588.265564,-40.379761,10
588.255371,-40.41489,10
588.263184,-40.364651,10
588.263184,-40.394077,10
588.202637,-40.42424,10
588.25,-40.297043,10
588.199707,-40.380154,10
588.249695,-40.367252,10
588.201599,-40.452667,10
588.264526,-40.396206,10
588.257385,-40.424843,10
588.254272,-40.411549,10
588.249451,-40.384075,10
588.265137,-40.40136,10
588.262329,-40.401585,10
588.263611,-40.401764,10
588.263062,-40.376431,10
588.263306,-40.395771,10
588.262756,-40.393005,10
588.260925,-40.41106,10
588.248657,-40.344387,10
588.262695,-40.377869,10
588.270203,-40.378555,10
588.257263,-40.376518,10
588.260803,-40.405956,10
588.261475,-40.387318,10
588.259766,-40.402809,10
